art_no,art_name,hierarchy_level1_id,hierarchy_level1_desc,hierarchy_level2_id,hierarchy_level2_desc,hierarchy_level3_id,hierarchy_level3_desc,date_of_day,store_count,sold_qty_units,total_cust_count,low_stock_warning,unit_price_weekly,unit_discount_weekly
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-08-13,45,91.0,82,0,8.44,-0.05
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-05-09,62,129.0,118,0,6.7,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-10-01,51,101.0,82,0,8.49,0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-04-02,56,116.0,106,0,8.48,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-03-05,56,101.0,90,0,6.68,0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2021-02-11,44,92.0,78,0,8.43,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-10-03,60,109.0,93,0,6.75,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-05-21,49,73.0,66,0,8.42,-0.07
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-07-25,56,124.0,117,0,6.67,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-09-24,48,87.0,75,0,8.48,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-04-16,42,76.0,69,0,7.65,-0.84
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-06-18,51,88.0,74,0,7.64,-0.85
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-04-25,67,171.0,143,0,6.07,-0.67
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-11-14,55,125.0,109,0,6.72,0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-10-15,55,124.0,100,0,8.42,-0.07
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-05-23,68,185.0,160,0,6.07,-0.67
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-11-28,63,141.0,119,0,6.8,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-03-14,53,99.0,82,0,6.64,-0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-06-04,59,109.0,91,0,8.27,-0.22
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-03-07,64,122.0,105,0,6.76,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-12-31,36,51.0,46,0,8.4,-0.04
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-10-29,43,79.0,75,0,8.45,-0.04
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-09-26,65,134.0,122,0,6.57,-0.07
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-05-02,63,124.0,108,0,6.03,-0.7
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-03-21,62,120.0,105,0,6.75,0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-08-06,50,85.0,73,0,8.48,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-05-07,43,83.0,65,0,8.47,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-07-30,43,82.0,70,0,8.49,0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-04-09,40,60.0,56,0,8.49,0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-11-05,49,87.0,79,0,8.48,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-10-10,56,119.0,100,0,6.62,-0.04
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-07-16,55,104.0,95,0,8.46,-0.03
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-05-16,53,115.0,104,0,6.76,-0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-10-17,61,130.0,117,0,6.66,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2021-01-21,43,69.0,62,0,8.21,-0.25
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-09-12,64,139.0,116,0,6.62,0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2021-01-14,41,66.0,61,0,8.48,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-09-05,63,130.0,116,0,6.75,-0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-11-07,62,143.0,116,0,6.59,-0.05
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-04-18,53,100.0,94,0,6.68,-0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-12-19,58,139.0,129,0,6.68,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2021-02-04,45,77.0,69,0,8.4,-0.06
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-07-02,52,103.0,96,0,8.47,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-09-17,47,91.0,83,0,8.48,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-09-19,60,123.0,106,0,6.76,-0.03
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-04-11,59,154.0,140,0,6.76,-0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-10-24,59,106.0,91,0,6.77,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-12-26,52,100.0,83,0,6.65,-0.07
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-03-12,64,172.0,159,0,6.68,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-06-06,59,135.0,116,0,6.65,-0.03
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-04-04,66,136.0,119,0,6.75,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-06-11,50,85.0,73,0,7.66,-0.83
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-07-18,58,138.0,128,0,6.64,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-02-28,49,96.0,88,0,6.64,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-12-03,46,98.0,88,0,8.47,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2021-01-28,44,78.0,70,0,7.77,-0.65
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-01-16,46,88.0,77,0,6.68,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2021-01-07,42,65.0,60,0,8.38,-0.07
